ID,Code DTC,Description du problème,Root Cause Description,Composant concerné,PCA attendue,Statut GIM
25,P0730,Unusual tire wear,Radar sensor blocked,Interior Electronics,Clean rearview camera lens,Non résolu
26,P0910,Brake system warning light,Sunroof motor failure,Exhaust System,Replace door latch sensor,En traitement
27,P0135,Lane departure warning system fault,Alignment issues,Lighting System,Replace door latch sensor,Résolu
28,P0980,Blind spot monitor warning,Refrigerant leak in AC system,Safety Systems,Replace oxygen sensor and clear fault codes,Non résolu
29,P1000,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Transmission clutch friction element stuck causing shifting issues,Cooling System,Replace ignition coil in cylinder 1,Résolu
30,P0805,Power windows not responding,Actuator for trunk release faulty,Cooling System,Replace clutch friction element and recalibrate transmission,Non résolu
31,P0A80,Reduced power and acceleration,Catalytic converter efficiency below threshold,Cooling System,Replace door latch sensor,Résolu
32,P07A3,Loud clicking noise during hybrid mode switch,Blown fuse in wiper circuit,Body Control Module,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
33,P0870,Horn not functioning,Wheel bearing worn out,Sunroof System,Clean parking sensor,Non résolu
34,P1600,Horn not functioning,GPS antenna faulty,Camera Systems,Clean blind spot sensor,En traitement
35,P0980,Trunk not opening,Battery internal resistance too high causing voltage imbalance,Body Control Module,Replace connecting rod bearings,Non résolu
36,P0750,AC not blowing cold air,Communication loss between ECU and hybrid battery module,Exhaust System,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
37,P0500,Battery overheats after 20 min of driving,Blind spot sensor obstructed,Brakes,Replace clutch friction element and recalibrate transmission,Non résolu
38,P0101,Navigation system not working,Loose battery terminal connection,Trunk System,Replace connecting rod bearings,Résolu
39,P0900,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Door latch sensor faulty,Lighting System,Replace turbocharger,En traitement
40,P0500,Power windows not responding,Lane keeping assist camera misaligned,Electrical System,Replace connecting rod bearings,Non résolu
41,P0715,Heated seats not working,Faulty inverter cooling pump causing insufficient coolant circulation,Suspension,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
42,P0900,Trunk not opening,Improper tire inflation,AC System,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
43,P1700,Steering wheel vibration at high speed,Sunroof motor failure,Steering,Replace thermostat,Non résolu
44,P0446,Engine knocking sound,Blind spot sensor obstructed,Engine,Replace oxygen sensor and clear fault codes,Résolu
45,P07AD,"Engine misfire, rough idle",Faulty horn relay,Safety Systems,Replace wheel bearing,Non résolu
46,P0820,Battery overheats after 20 min of driving,Wheel bearing worn out,ECU,Clean battery terminals,Résolu
47,P0101,Heated seats not working,Ignition coil failure in cylinder 1,Hybrid Battery,Replace spark plugs and clean fuel injectors,En traitement
48,P0325,Engine knocking sound,Refrigerant leak in AC system,Engine,Replace heated seat element,Résolu
49,P0446,"Check engine light on, no noticeable symptoms","Oxygen sensor malfunction, leading to incorrect fuel mixture",Electrical System,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
50,P0455,Lane departure warning system fault,Faulty horn relay,AC System,Replace power window motor,Non résolu
51,P0920,Door ajar warning light on constantly,Ignition coil failure in cylinder 1,Body Control Module,Replace clutch friction element and recalibrate transmission,Résolu
52,P0760,Parking assist system error,Wheel bearing worn out,Lighting System,Replace wiper fuse,En traitement
53,P0970,Headlights flickering,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Camera Systems,Replace inverter cooling pump and refill coolant,Résolu
54,P0606,Power windows not responding,Rearview camera lens dirty,Trunk System,Replace sunroof motor,En traitement
55,P1700,Brake system warning light,Door latch sensor faulty,Electrical System,Replace sunroof motor,Non résolu
56,P0990,Power windows not responding,Door latch sensor faulty,Inverter,Replace ignition coil in cylinder 1,En traitement
57,P03AF,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Rearview camera lens dirty,Steering,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
58,P0860,Navigation system not working,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Camera Systems,Replace wiper fuse,Non résolu
59,P0325,Sunroof stuck open,"Thermostat stuck open, engine running cold",MG2,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
60,P0870,Door ajar warning light on constantly,Improper tire inflation,Interior Electronics,Clean rearview camera lens,Non résolu
61,P0220,Heated seats not working,GPS antenna faulty,ECU,Replace GPS antenna,Non résolu
62,P0805,Battery overheats after 20 min of driving,Faulty horn relay,Body Control Module,Replace GPS antenna,Non résolu
63,P0133,Engine knocking sound,Connecting rod bearing wear,Interior Electronics,Replace trunk release actuator,Non résolu
64,P1100,Wipers not working,Faulty inverter cooling pump causing insufficient coolant circulation,Suspension,Replace connecting rod bearings,En traitement
65,P0840,Sunroof stuck open,Blown fuse in wiper circuit,Cooling System,Replace turbocharger,En traitement
66,P0940,Hybrid system malfunction,Refrigerant leak in AC system,Electrical System,Replace wheel bearing,Résolu
67,P0910,Unusual tire wear,Wheel bearing worn out,Exhaust System,Replace turbocharger,Résolu
68,P0560,Parking assist system error,GPS antenna faulty,Trunk System,Clean blind spot sensor,Non résolu
69,P0172,Vehicle pulls to one side,Refrigerant leak in AC system,Interior Electronics,Replace inverter cooling pump and refill coolant,Non résolu
70,P0970,"Vehicle not ready, hybrid system warning",Clogged fuel injector and worn spark plugs,Navigation System,Replace thermostat,Résolu
71,P0960,Power windows not responding,Heater element failure in seat,Cooling System,Perform wheel alignment,En traitement
72,P0860,Excessive exhaust smoke,Door latch sensor faulty,Body Control Module,Perform wheel alignment,Résolu
73,P0301,Loud clicking noise during hybrid mode switch,Transmission clutch friction element stuck causing shifting issues,AC System,Replace trunk release actuator,En traitement
74,P0870,"Engine misfire, rough idle",Rearview camera lens dirty,Navigation System,Replace thermostat,Résolu
75,P0730,Rearview camera blurry,Refrigerant leak in AC system,Inverter,Replace horn relay,Résolu
76,P0780,Fuel gauge inaccurate,Battery internal resistance too high causing voltage imbalance,Horn System,Replace thermostat,En traitement
77,P0172,Navigation system not working,Clogged fuel injector and worn spark plugs,Sunroof System,Replace oxygen sensor and clear fault codes,Non résolu
78,P0715,Trunk not opening,"Thermostat stuck open, engine running cold",Cooling System,Recalibrate lane keeping assist camera,Non résolu
79,P0910,Power windows not responding,GPS antenna faulty,Wiper System,Replace heated seat element,En traitement
80,P0650,Unusual tire wear,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Engine,Replace GPS antenna,En traitement
81,P0133,Unusual tire wear,Heater element failure in seat,Sunroof System,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
82,P0325,Hybrid system malfunction,Sunroof motor failure,Suspension,Clean rearview camera lens,En traitement
83,P0740,Horn not functioning,Faulty horn relay,Body Control Module,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
84,P07A3,Lane departure warning system fault,Wheel bearing worn out,Transmission,Replace spark plugs and clean fuel injectors,Résolu
85,P0601,Brake system warning light,Catalytic converter efficiency below threshold,Transmission,Replace thermostat,Résolu
86,P0805,Trunk not opening,Alignment issues,Exhaust System,Replace turbocharger,Non résolu
87,P0101,Door ajar warning light on constantly,"Thermostat stuck open, engine running cold",Cooling System,Replace door latch sensor,En traitement
88,P0101,"Check engine light on, no noticeable symptoms","Oxygen sensor malfunction, leading to incorrect fuel mixture",AC System,Perform wheel alignment,En traitement
89,P1000,Adaptive cruise control unavailable,Faulty inverter cooling pump causing insufficient coolant circulation,MG2,Replace clutch friction element and recalibrate transmission,Résolu
90,P0860,Parking assist system error,Heater element failure in seat,Suspension,Replace wheel bearing,En traitement
91,P0650,Parking assist system error,Wheel bearing worn out,Brakes,Replace spark plugs and clean fuel injectors,Résolu
92,P0930,Parking assist system error,Radar sensor blocked,Sunroof System,Replace oxygen sensor and clear fault codes,En traitement
93,P0890,Loud clicking noise during hybrid mode switch,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Horn System,Replace spark plugs and clean fuel injectors,Résolu
94,P03AF,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Door latch sensor faulty,Steering,Replace heated seat element,Non résolu
95,P1200,Wipers not working,Transmission clutch friction element stuck causing shifting issues,Electrical System,Clean blind spot sensor,Résolu
96,P0950,Vehicle pulls to one side,Turbocharger seal failure,Driver Assistance Systems,Replace wiper fuse,Résolu
97,P0101,AC not blowing cold air,Blown fuse in wiper circuit,Engine,Replace spark plugs and clean fuel injectors,Non résolu
98,P0970,Vehicle pulls to one side,Radar sensor blocked,MG1,Clean rearview camera lens,En traitement
99,P0133,Excessive exhaust smoke,Actuator for trunk release faulty,Sunroof System,Replace catalytic converter,Non résolu
100,P0455,Door ajar warning light on constantly,Connecting rod bearing wear,MG2,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
101,P0335,Unusual tire wear,Parking sensor dirty,Lighting System,Replace door latch sensor,En traitement
102,P0990,Steering wheel vibration at high speed,Alignment issues,Cooling System,Replace GPS antenna,Non résolu
103,P1100,Steering wheel vibration at high speed,Turbocharger seal failure,MG2,Replace thermostat,Résolu
104,P0620,Power windows not responding,Battery internal resistance too high causing voltage imbalance,Suspension,Replace catalytic converter,Non résolu
105,P0930,Adaptive cruise control unavailable,Alignment issues,Safety Systems,Replace inverter cooling pump and refill coolant,Résolu
106,P0740,Parking assist system error,Improper tire inflation,ECU,Replace horn relay,Non résolu
107,P0750,"Engine misfire, rough idle",Heater element failure in seat,Sunroof System,Replace heated seat element,Non résolu
108,P1700,Battery overheats after 20 min of driving,Faulty inverter cooling pump causing insufficient coolant circulation,Camera Systems,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
109,P0830,Fuel gauge inaccurate,Sunroof motor failure,Camera Systems,Replace connecting rod bearings,En traitement
110,P1803-00,Door ajar warning light on constantly,Actuator for trunk release faulty,Driver Assistance Systems,Update ECU software and reset hybrid system,Non résolu
111,P0980,Battery overheats after 20 min of driving,Connecting rod bearing wear,Engine,Replace power window motor,Non résolu
112,P07A3,Sunroof stuck open,Rearview camera lens dirty,Wiper System,Adjust tire pressure,En traitement
113,P0113,Brake system warning light,Improper tire inflation,Sunroof System,Replace door latch sensor,En traitement
114,P0820,Loud clicking noise during hybrid mode switch,Turbocharger seal failure,Navigation System,Clean radar sensor,Non résolu
115,P1700,"Check engine light on, no noticeable symptoms",Heater element failure in seat,Navigation System,Replace thermostat,Résolu
116,P0401,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Communication loss between ECU and hybrid battery module,Driver Assistance Systems,Clean blind spot sensor,En traitement
117,P0970,Battery overheats after 20 min of driving,Connecting rod bearing wear,Navigation System,Update ECU software and reset hybrid system,En traitement
118,P0122,Reduced power and acceleration,Battery internal resistance too high causing voltage imbalance,Engine,Replace oxygen sensor and clear fault codes,Résolu
119,P07AD,Engine knocking sound,Motor for power window faulty,Suspension,Clean parking sensor,Non résolu
120,P1803-00,Vehicle pulls to one side,Blown fuse in wiper circuit,Wiper System,Clean parking sensor,En traitement
121,P0980,Navigation system not working,Clogged fuel injector and worn spark plugs,Lighting System,Replace GPS antenna,Non résolu
122,P0850,Power windows not responding,Transmission clutch friction element stuck causing shifting issues,Engine,Replace connecting rod bearings,En traitement
123,P0850,Door ajar warning light on constantly,Actuator for trunk release faulty,Inverter,Replace GPS antenna,Résolu
124,P0101,Loud clicking noise during hybrid mode switch,"Thermostat stuck open, engine running cold",Safety Systems,Adjust tire pressure,Non résolu
125,P0101,Fuel gauge inaccurate,Lane keeping assist camera misaligned,Lighting System,Clean parking sensor,Non résolu
126,P0705,Wipers not working,Catalytic converter efficiency below threshold,Engine,Replace thermostat,Non résolu
127,P0790,Vehicle pulls to one side,Parking sensor dirty,Safety Systems,Replace clutch friction element and recalibrate transmission,Non résolu
128,P0770,Horn not functioning,Faulty horn relay,Camera Systems,Replace thermostat,Non résolu
129,P0805,"Vehicle not ready, hybrid system warning",Sunroof motor failure,Safety Systems,Replace trunk release actuator,En traitement
130,P0810,Steering wheel vibration at high speed,Faulty horn relay,AC System,Replace turbocharger,Non résolu
131,P0830,Wipers not working,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Body Control Module,Replace spark plugs and clean fuel injectors,Non résolu
132,P0560,Brake system warning light,Faulty inverter cooling pump causing insufficient coolant circulation,Inverter,Replace wiper fuse,Résolu
133,P0730,Horn not functioning,Connecting rod bearing wear,AC System,Replace door latch sensor,Résolu
134,P0980,Heated seats not working,Clogged fuel injector and worn spark plugs,Wiper System,Update ECU software and reset hybrid system,Résolu
135,P0980,Sunroof stuck open,Motor for power window faulty,Suspension,Clean parking sensor,En traitement
136,P07A3,Parking assist system error,Sunroof motor failure,Wiper System,Replace thermostat,Non résolu
137,P0940,Brake system warning light,Blind spot sensor obstructed,Brakes,Update ECU software and reset hybrid system,Non résolu
138,P0720,Brake system warning light,Refrigerant leak in AC system,Inverter,Update ECU software and reset hybrid system,En traitement
139,P0900,Navigation system not working,Door latch sensor faulty,Interior Electronics,Replace power window motor,Non résolu
140,P0840,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Wheel bearing worn out,Electrical System,Replace sunroof motor,En traitement
141,P0920,Door ajar warning light on constantly,Connecting rod bearing wear,Engine,Replace inverter cooling pump and refill coolant,Non résolu
142,P0620,Fuel gauge inaccurate,Door latch sensor faulty,MG2,Replace heated seat element,Non résolu
143,P0870,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Battery internal resistance too high causing voltage imbalance,AC System,Update ECU software and reset hybrid system,Résolu
144,P0890,Brake system warning light,GPS antenna faulty,Exhaust System,Replace heated seat element,Résolu
145,P0505,Horn not functioning,Clogged fuel injector and worn spark plugs,Body Control Module,Replace door latch sensor,Résolu
146,P0860,Battery overheats after 20 min of driving,"Thermostat stuck open, engine running cold",ECU,Replace oxygen sensor and clear fault codes,Non résolu
147,P0446,Fuel gauge inaccurate,Actuator for trunk release faulty,Tires,Replace clutch friction element and recalibrate transmission,Non résolu
148,P1600,Power windows not responding,GPS antenna faulty,Camera Systems,Replace wheel bearing,En traitement
149,P0990,Steering wheel vibration at high speed,Sunroof motor failure,Camera Systems,Replace inverter cooling pump and refill coolant,Résolu
150,P0715,Vehicle pulls to one side,Battery internal resistance too high causing voltage imbalance,Transmission,Replace heated seat element,En traitement
151,P0505,Heated seats not working,Ignition coil failure in cylinder 1,Tires,Clean battery terminals,En traitement
152,P0325,Headlights flickering,Turbocharger seal failure,Lighting System,Perform wheel alignment,En traitement
153,P0420,Hybrid system malfunction,Battery internal resistance too high causing voltage imbalance,MG1,Replace wiper fuse,Non résolu
154,P0620,"Engine misfire, rough idle",Connecting rod bearing wear,Wiper System,Replace heated seat element,Non résolu
155,P0101,Loud clicking noise during hybrid mode switch,GPS antenna faulty,Engine,Replace turbocharger,Résolu
156,P0650,Horn not functioning,Clogged fuel injector and worn spark plugs,Interior Electronics,Replace oxygen sensor and clear fault codes,En traitement
157,P0770,Heated seats not working,Alignment issues,Navigation System,Replace door latch sensor,Résolu
158,P0620,Blind spot monitor warning,GPS antenna faulty,Lighting System,Update ECU software and reset hybrid system,En traitement
159,P0820,"Vehicle not ready, hybrid system warning",Faulty horn relay,MG1,Replace heated seat element,Résolu
160,P0720,Fuel gauge inaccurate,Blown fuse in wiper circuit,Driver Assistance Systems,Clean parking sensor,Résolu
161,P0440,AC not blowing cold air,Radar sensor blocked,Steering,Replace inverter cooling pump and refill coolant,En traitement
162,P0440,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Blown fuse in wiper circuit,MG1,Replace connecting rod bearings,En traitement
163,P0420,Sunroof stuck open,Ignition coil failure in cylinder 1,Safety Systems,Replace turbocharger,Non résolu
164,P0870,Door ajar warning light on constantly,GPS antenna faulty,Driver Assistance Systems,Replace connecting rod bearings,En traitement
165,P0760,Horn not functioning,Communication loss between ECU and hybrid battery module,Tires,Clean radar sensor,En traitement
166,P0220,Trunk not opening,Blind spot sensor obstructed,Cooling System,Clean blind spot sensor,Non résolu
167,P0700,Fuel gauge inaccurate,Clogged fuel injector and worn spark plugs,Brakes,Recalibrate lane keeping assist camera,Résolu
168,P0601,Headlights flickering,Blown fuse in wiper circuit,Exhaust System,Replace heated seat element,Résolu
169,P0830,Vehicle pulls to one side,GPS antenna faulty,Trunk System,Replace wheel bearing,En traitement
170,P0970,Rearview camera blurry,Improper tire inflation,Inverter,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
171,P1500,Trunk not opening,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Hybrid Battery,Replace connecting rod bearings,Résolu
172,P0980,Vehicle pulls to one side,Battery internal resistance too high causing voltage imbalance,Steering,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
173,P07A3,Power windows not responding,Loose battery terminal connection,Driver Assistance Systems,Perform wheel alignment,Non résolu
174,P0830,Hybrid system malfunction,Radar sensor blocked,Cooling System,Clean radar sensor,Résolu
175,P0910,"Check engine light on, no noticeable symptoms",Battery internal resistance too high causing voltage imbalance,Transmission,Replace GPS antenna,Non résolu
176,P0950,Blind spot monitor warning,Improper tire inflation,Body Control Module,Clean battery terminals,En traitement
177,P03AF,Unusual tire wear,"Thermostat stuck open, engine running cold",Cooling System,Replace wiper fuse,Non résolu
178,P0220,Unusual tire wear,Connecting rod bearing wear,Horn System,Clean rearview camera lens,En traitement
179,P0A80,Fuel gauge inaccurate,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Inverter,Replace heated seat element,Non résolu
180,P0601,Wipers not working,Rearview camera lens dirty,Transmission,Update ECU software and reset hybrid system,Résolu
181,P0730,Wipers not working,Faulty horn relay,MG2,Clean parking sensor,Résolu
182,P0770,Unusual tire wear,Lane keeping assist camera misaligned,Wiper System,Recalibrate lane keeping assist camera,Résolu
183,P0760,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Parking sensor dirty,Brakes,Clean radar sensor,Résolu
184,P0401,"Check engine light on, no noticeable symptoms",Refrigerant leak in AC system,Trunk System,Adjust tire pressure,Non résolu
185,P0900,Brake system warning light,Connecting rod bearing wear,AC System,Clean blind spot sensor,Non résolu
186,P07A3,Battery overheats after 20 min of driving,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Trunk System,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
187,P0440,Unusual tire wear,Heater element failure in seat,Transmission,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
188,P0401,Navigation system not working,Ignition coil failure in cylinder 1,MG1,Replace oxygen sensor and clear fault codes,En traitement
189,P0500,Parking assist system error,Faulty horn relay,Tires,Replace thermostat,Non résolu
190,P0122,Fuel gauge inaccurate,Door latch sensor faulty,Driver Assistance Systems,Replace catalytic converter,Non résolu
191,P1100,Vehicle pulls to one side,Alignment issues,Driver Assistance Systems,Replace inverter cooling pump and refill coolant,En traitement
192,P0700,Sunroof stuck open,Sunroof motor failure,Horn System,Replace wiper fuse,En traitement
193,P0760,Trunk not opening,Actuator for trunk release faulty,Lighting System,Replace clutch friction element and recalibrate transmission,Non résolu
194,P07AD,Power windows not responding,Faulty horn relay,Tires,"Locate and repair refrigerant leak, then recharge AC system",Résolu
195,P0505,Lane departure warning system fault,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Steering,Replace inverter cooling pump and refill coolant,Non résolu
196,P0930,Loud clicking noise during hybrid mode switch,Faulty inverter cooling pump causing insufficient coolant circulation,Trunk System,Replace spark plugs and clean fuel injectors,Non résolu
197,P0830,Trunk not opening,GPS antenna faulty,AC System,Replace wheel bearing,En traitement
198,P1200,Reduced power and acceleration,Transmission clutch friction element stuck causing shifting issues,Driver Assistance Systems,Replace catalytic converter,En traitement
199,P0220,Parking assist system error,"Thermostat stuck open, engine running cold",Lighting System,Replace turbocharger,En traitement
200,P0440,Wipers not working,Ignition coil failure in cylinder 1,Electrical System,Replace ignition coil in cylinder 1,Non résolu
201,P1700,"Vehicle not ready, hybrid system warning",Transmission clutch friction element stuck causing shifting issues,Transmission,Clean radar sensor,En traitement
202,P1803-00,"Check engine light on, no noticeable symptoms",Clogged fuel injector and worn spark plugs,Driver Assistance Systems,Replace wiper fuse,En traitement
203,P0970,Vehicle pulls to one side,Clogged fuel injector and worn spark plugs,Interior Electronics,Replace oxygen sensor and clear fault codes,Non résolu
204,P0606,Heated seats not working,"Thermostat stuck open, engine running cold",Wiper System,Replace connecting rod bearings,En traitement
205,P0201,Engine knocking sound,Transmission clutch friction element stuck causing shifting issues,Horn System,Clean blind spot sensor,En traitement
206,P0650,Lane departure warning system fault,Radar sensor blocked,Brakes,Replace sunroof motor,Non résolu
207,P0650,Reduced power and acceleration,Battery internal resistance too high causing voltage imbalance,Cooling System,Clean radar sensor,En traitement
208,P0960,Brake system warning light,Refrigerant leak in AC system,MG1,Replace GPS antenna,Résolu
209,P0910,Sunroof stuck open,Battery internal resistance too high causing voltage imbalance,Navigation System,Replace heated seat element,Non résolu
210,P0820,"Vehicle not ready, hybrid system warning",GPS antenna faulty,Suspension,Replace wiper fuse,Résolu
211,P1000,Wipers not working,Loose battery terminal connection,Navigation System,Replace turbocharger,Résolu
212,P0860,Door ajar warning light on constantly,Turbocharger seal failure,Tires,"Locate and repair refrigerant leak, then recharge AC system",Résolu
213,P0830,Trunk not opening,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Engine,Replace wheel bearing,Non résolu
214,P0500,Trunk not opening,Turbocharger seal failure,Sunroof System,Replace connecting rod bearings,Résolu
215,P0446,"Check engine light on, no noticeable symptoms",Loose battery terminal connection,Navigation System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
216,P0790,Unusual tire wear,Catalytic converter efficiency below threshold,Driver Assistance Systems,Replace inverter cooling pump and refill coolant,En traitement
217,P0560,Unusual tire wear,Lane keeping assist camera misaligned,Steering,Replace catalytic converter,Non résolu
218,P07AD,Wipers not working,Rearview camera lens dirty,MG2,Clean parking sensor,Résolu
219,P0A93,Rearview camera blurry,Alignment issues,Sunroof System,Replace sunroof motor,Résolu
220,P1700,Lane departure warning system fault,Door latch sensor faulty,Transmission,Clean blind spot sensor,En traitement
221,P0715,Reduced power and acceleration,Parking sensor dirty,Lighting System,Update ECU software and reset hybrid system,En traitement
222,P0920,"Check engine light on, no noticeable symptoms",Door latch sensor faulty,Brakes,Replace turbocharger,Résolu
223,P0805,Rearview camera blurry,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Inverter,Replace horn relay,En traitement
224,P0770,Engine knocking sound,Faulty inverter cooling pump causing insufficient coolant circulation,Tires,Replace inverter cooling pump and refill coolant,Non résolu
225,P0340,"Engine misfire, rough idle",Blown fuse in wiper circuit,Lighting System,Replace clutch friction element and recalibrate transmission,Non résolu
226,P0172,Lane departure warning system fault,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Interior Electronics,Replace catalytic converter,En traitement
227,P0930,"Vehicle not ready, hybrid system warning",Connecting rod bearing wear,Interior Electronics,Replace connecting rod bearings,Non résolu
228,P0740,AC not blowing cold air,Refrigerant leak in AC system,Driver Assistance Systems,Replace wiper fuse,En traitement
229,P0830,Engine knocking sound,Actuator for trunk release faulty,Cooling System,Replace wiper fuse,En traitement
230,P0780,"Vehicle not ready, hybrid system warning",Motor for power window faulty,Wiper System,Replace spark plugs and clean fuel injectors,Non résolu
231,P0135,Vehicle pulls to one side,Refrigerant leak in AC system,ECU,Replace ignition coil in cylinder 1,Résolu
232,P1200,Blind spot monitor warning,Communication loss between ECU and hybrid battery module,Suspension,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
233,P0900,Unusual tire wear,Connecting rod bearing wear,Wiper System,Replace oxygen sensor and clear fault codes,Non résolu
234,P0401,Rearview camera blurry,Transmission clutch friction element stuck causing shifting issues,Safety Systems,Replace inverter cooling pump and refill coolant,Résolu
235,P0930,Loud clicking noise during hybrid mode switch,Battery internal resistance too high causing voltage imbalance,Inverter,Replace inverter cooling pump and refill coolant,En traitement
236,P1300,Headlights flickering,Battery internal resistance too high causing voltage imbalance,Horn System,Replace wiper fuse,Résolu
237,P0910,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Blown fuse in wiper circuit,Trunk System,"Locate and repair refrigerant leak, then recharge AC system",Résolu
238,P0805,Hybrid system malfunction,Loose battery terminal connection,Hybrid Battery,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
239,P0740,Horn not functioning,Rearview camera lens dirty,Wiper System,Replace horn relay,Non résolu
240,P0920,Sunroof stuck open,Transmission clutch friction element stuck causing shifting issues,Inverter,Clean rearview camera lens,Non résolu
241,P1400,Rearview camera blurry,Refrigerant leak in AC system,Hybrid Battery,Replace wiper fuse,En traitement
242,P0790,Power windows not responding,Loose battery terminal connection,ECU,Clean parking sensor,En traitement
243,P0830,Lane departure warning system fault,Alignment issues,Trunk System,Replace turbocharger,Résolu
244,P0760,Vehicle pulls to one side,Actuator for trunk release faulty,Safety Systems,Replace thermostat,En traitement
245,P1803-00,Trunk not opening,Sunroof motor failure,Exhaust System,Replace wiper fuse,En traitement
